ID,region,type.of.place.of.residence,wealth.index.combined,sex.of.household.member,age.of.household.members,highest.educational.level.attained,current.marital.status,group
511,eastern cape,urban,middle,male,17,secondary,never married,2
512,eastern cape,urban,middle,male,16,secondary,never married,2
513,eastern cape,urban,middle,female,34,secondary,never married,1
514,eastern cape,urban,middle,female,29,higher,never married,1
515,eastern cape,urban,poorer,female,18,secondary,never married,3
516,eastern cape,urban,poorer,female,17,secondary,never married,1
517,eastern cape,urban,poorer,female,18,secondary,never married,1
518,eastern cape,urban,poorer,male,16,secondary,never married,2
519,eastern cape,urban,poorer,male,18,secondary,never married,2
520,eastern cape,urban,poorer,female,21,secondary,never married,1
521,eastern cape,urban,poorer,female,22,secondary,never married,1
522,northern cape,rural,middle,female,41,secondary,never married,1
523,northern cape,rural,middle,male,23,secondary,never married,2
524,northern cape,rural,richer,female,69,primary,married,2
525,northern cape,rural,poorest,male,36,secondary,never married,2
526,northern cape,rural,poorest,female,45,primary,never married,4
527,northern cape,rural,poorest,male,21,secondary,never married,2
528,northern cape,rural,poorest,male,16,secondary,never married,2
529,mpumalanga,rural,richer,female,47,secondary,widowed,1
530,mpumalanga,rural,richer,female,16,secondary,never married,1
531,mpumalanga,rural,middle,male,34,secondary,married,2
532,mpumalanga,rural,middle,female,33,higher,married,1
533,mpumalanga,rural,richer,male,50,higher,married,5
534,mpumalanga,rural,richer,female,44,secondary,married,4
535,mpumalanga,rural,richer,female,15,secondary,never married,1
536,mpumalanga,rural,richer,female,40,secondary,married,3
537,mpumalanga,rural,middle,male,47,secondary,divorced/separated,3
538,mpumalanga,rural,middle,female,28,secondary,never married,4
539,limpopo,rural,poorest,female,78,"no education, preschool",widowed,5
540,limpopo,rural,poorest,female,28,primary,never married,1
541,limpopo,rural,middle,female,39,secondary,married,3
542,limpopo,rural,middle,male,15,secondary,never married,2
543,limpopo,rural,middle,female,55,secondary,married,3
544,limpopo,rural,middle,male,34,"no education, preschool",never married,2
545,limpopo,rural,middle,female,29,secondary,never married,2
546,limpopo,rural,middle,female,18,secondary,never married,2
547,limpopo,rural,poorer,male,18,secondary,never married,2
548,limpopo,rural,poorer,male,17,secondary,never married,2
549,limpopo,rural,richer,male,36,higher,married,2
550,limpopo,rural,richer,female,32,secondary,married,3
551,limpopo,rural,poorer,male,58,primary,married,2
552,limpopo,rural,poorer,female,44,secondary,married,3
553,limpopo,rural,poorer,male,16,secondary,never married,2
554,northern cape,urban,richer,male,53,secondary,married,2
555,northern cape,urban,richer,female,23,secondary,never married,2
556,northern cape,urban,middle,female,53,secondary,divorced/separated,1
557,north west,urban,poorer,female,48,primary,never married,1
558,north west,urban,poorer,female,20,secondary,never married,1
559,north west,urban,poorest,female,49,"no education, preschool",married,3
560,north west,urban,poorest,female,18,secondary,never married,1
561,north west,urban,middle,female,62,secondary,never married,1
562,north west,urban,poorer,female,41,"no education, preschool",never married,1
563,north west,urban,poorer,female,21,secondary,never married,1
564,north west,urban,poorer,male,20,primary,never married,2
565,north west,urban,poorer,female,59,"no education, preschool",divorced/separated,4
566,north west,urban,poorer,female,40,primary,divorced/separated,1
567,north west,urban,poorer,female,26,secondary,never married,1
568,north west,urban,middle,female,69,"no education, preschool",widowed,4
569,north west,urban,middle,female,26,secondary,never married,1
570,north west,urban,middle,female,17,secondary,never married,1
571,north west,urban,poorest,male,60,primary,widowed,2
572,north west,urban,richer,male,42,secondary,married,2
573,north west,urban,richer,female,35,primary,married,3
574,north west,urban,richer,male,19,secondary,never married,2
575,north west,urban,richer,female,15,primary,never married,1
576,north west,urban,middle,female,22,primary,never married,1
577,north west,urban,middle,male,18,primary,never married,1
578,mpumalanga,urban,middle,male,43,secondary,never married,2
579,mpumalanga,urban,middle,male,46,secondary,married,2
580,mpumalanga,urban,poorer,male,22,secondary,never married,2
581,mpumalanga,urban,poorest,male,25,secondary,never married,2
582,limpopo,urban,poorest,female,57,"no education, preschool",widowed,3
583,limpopo,urban,richest,female,63,higher,widowed,1
584,limpopo,urban,richest,male,22,secondary,never married,2
585,limpopo,urban,poorest,female,37,secondary,divorced/separated,3
586,limpopo,urban,richest,female,31,secondary,married,3
587,limpopo,rural,richer,male,48,secondary,married,2
588,limpopo,rural,middle,male,33,secondary,never married,2
589,free state,urban,richer,female,35,higher,never married,1
590,free state,urban,richer,female,59,primary,married,4
591,free state,urban,richer,female,37,secondary,married,3
592,free state,urban,poorest,female,82,secondary,widowed,4
593,free state,urban,richer,female,59,primary,widowed,1
594,free state,urban,richer,female,37,secondary,divorced/separated,1
595,free state,urban,richer,female,28,secondary,never married,1
596,free state,urban,middle,female,52,secondary,divorced/separated,4
597,free state,urban,richest,female,60,primary,married,3
598,free state,urban,richest,female,23,secondary,never married,3
599,free state,urban,richest,male,16,primary,never married,1
600,free state,urban,middle,female,61,primary,widowed,4
601,free state,urban,middle,female,36,secondary,married,1
602,free state,urban,middle,male,24,secondary,never married,2
603,free state,urban,middle,female,15,primary,never married,1
604,free state,urban,middle,female,53,primary,never married,4
605,free state,urban,middle,female,34,secondary,married,1
606,free state,urban,richer,male,40,higher,never married,2
607,kwazulu-natal,rural,poorer,male,40,primary,married,2
608,kwazulu-natal,rural,poorer,female,32,secondary,married,1
609,kwazulu-natal,rural,middle,male,24,secondary,never married,2
610,kwazulu-natal,rural,poorest,female,38,primary,married,1
611,kwazulu-natal,rural,poorest,male,43,primary,married,2
612,kwazulu-natal,rural,poorest,male,50,"no education, preschool",married,2
613,kwazulu-natal,rural,poorest,female,42,"no education, preschool",never married,1
614,kwazulu-natal,rural,poorest,female,17,primary,never married,1
615,kwazulu-natal,rural,poorest,male,19,primary,never married,2
616,kwazulu-natal,rural,poorest,male,59,"no education, preschool",married,2
617,kwazulu-natal,rural,poorest,male,30,secondary,never married,2
618,kwazulu-natal,rural,poorest,male,52,"no education, preschool",married,4
619,kwazulu-natal,rural,richest,male,45,secondary,married,3
620,kwazulu-natal,rural,richest,female,50,higher,married,2
621,kwazulu-natal,rural,richest,male,17,secondary,never married,3
622,kwazulu-natal,rural,richest,female,39,secondary,never married,4
623,mpumalanga,urban,poorest,female,44,secondary,never married,1
624,mpumalanga,urban,poorest,female,17,secondary,never married,2
625,mpumalanga,urban,poorest,male,44,don't know,married,4
626,mpumalanga,urban,poorest,female,34,secondary,married,2
627,mpumalanga,urban,poorest,female,18,secondary,never married,1
628,mpumalanga,urban,poorest,female,15,secondary,never married,1
629,mpumalanga,urban,poorest,male,32,primary,never married,2
630,mpumalanga,urban,poorest,male,56,primary,married,2
631,mpumalanga,urban,poorest,female,55,secondary,married,4
632,mpumalanga,urban,poorest,male,18,primary,never married,2
633,mpumalanga,urban,poorest,male,52,primary,married,2
634,mpumalanga,urban,poorest,female,46,primary,married,4
635,mpumalanga,urban,poorest,male,22,secondary,never married,2
636,mpumalanga,urban,poorest,male,20,secondary,never married,2
637,mpumalanga,urban,poorest,female,20,secondary,never married,1
638,mpumalanga,urban,poorest,female,38,primary,married,1
639,mpumalanga,urban,poorer,female,43,secondary,married,1
640,mpumalanga,urban,poorest,male,42,primary,never married,4
641,mpumalanga,urban,poorest,male,65,"no education, preschool",married,2
642,mpumalanga,urban,poorest,female,18,secondary,never married,4
643,mpumalanga,urban,poorest,male,33,secondary,never married,2
644,north west,rural,poorer,male,36,secondary,married,3
645,north west,rural,poorer,female,23,secondary,married,3
646,north west,rural,middle,female,48,secondary,never married,1
647,north west,rural,poorer,female,29,secondary,married,1
648,north west,rural,poorest,female,59,secondary,divorced/separated,4
649,north west,rural,poorer,male,41,secondary,never married,2
650,north west,rural,middle,male,49,secondary,married,4
651,north west,rural,middle,female,35,secondary,married,1
652,north west,rural,poorer,male,40,secondary,married,2
653,north west,rural,poorer,female,24,secondary,never married,1
654,kwazulu-natal,rural,poorer,male,18,secondary,never married,2
655,kwazulu-natal,rural,middle,female,19,secondary,never married,3
656,kwazulu-natal,rural,middle,female,17,secondary,never married,2
657,kwazulu-natal,rural,poorer,female,55,primary,married,3
658,kwazulu-natal,rural,poorer,male,17,secondary,never married,2
659,kwazulu-natal,rural,poorer,female,15,secondary,never married,1
660,kwazulu-natal,rural,poorer,female,52,"no education, preschool",never married,4
661,kwazulu-natal,rural,poorest,female,55,secondary,married,5
662,kwazulu-natal,rural,poorest,male,19,secondary,never married,2
663,kwazulu-natal,rural,poorest,female,30,secondary,never married,3
664,kwazulu-natal,rural,poorer,male,76,"no education, preschool",never married,4
665,kwazulu-natal,rural,poorer,female,74,"no education, preschool",married,4
666,kwazulu-natal,rural,poorer,female,17,primary,never married,1
667,kwazulu-natal,rural,poorer,female,87,primary,widowed,1
668,kwazulu-natal,rural,poorer,female,28,secondary,never married,1
669,gauteng,urban,poorest,female,18,secondary,married,1
670,gauteng,urban,poorest,male,42,secondary,never married,1
671,gauteng,urban,poorest,female,34,secondary,married,1
672,gauteng,urban,poorest,male,22,secondary,never married,2
673,gauteng,urban,poorer,female,32,secondary,never married,3
674,gauteng,urban,poorest,female,41,secondary,married,5
675,gauteng,urban,poorest,female,21,higher,married,1
676,mpumalanga,rural,poorest,female,56,primary,never married,1
677,mpumalanga,rural,poorest,female,44,primary,widowed,1
678,mpumalanga,rural,poorer,female,64,primary,never married,1
679,mpumalanga,rural,poorest,male,69,primary,never married,4
680,mpumalanga,rural,poorest,female,47,primary,never married,1
681,mpumalanga,rural,poorest,female,44,secondary,never married,2
682,mpumalanga,rural,poorest,female,25,higher,never married,1
683,mpumalanga,rural,poorest,male,26,secondary,never married,2
684,mpumalanga,rural,poorest,female,80,"no education, preschool",widowed,4
685,mpumalanga,rural,poorest,male,62,"no education, preschool",married,4
686,mpumalanga,rural,poorest,female,56,primary,married,3
687,mpumalanga,rural,poorest,male,31,primary,never married,2
688,mpumalanga,rural,poorest,female,22,secondary,never married,1
689,mpumalanga,rural,poorest,female,17,secondary,never married,1
690,mpumalanga,rural,poorest,male,19,primary,never married,1
691,mpumalanga,rural,poorest,female,51,secondary,widowed,4
692,mpumalanga,rural,poorest,male,21,secondary,never married,2
693,mpumalanga,rural,poorest,female,45,secondary,never married,1
694,mpumalanga,rural,poorest,female,36,secondary,never married,1
695,mpumalanga,rural,poorest,male,26,secondary,never married,2
696,mpumalanga,rural,poorest,female,23,secondary,never married,2
697,mpumalanga,rural,poorest,female,16,secondary,never married,1
698,north west,rural,poorer,female,83,"no education, preschool",widowed,1
699,north west,rural,poorer,female,35,secondary,never married,1
700,north west,rural,poorer,female,17,secondary,never married,1
701,north west,rural,middle,male,71,primary,married,5
702,north west,rural,middle,female,65,primary,married,4
703,north west,rural,middle,female,30,secondary,never married,1
704,north west,rural,middle,female,24,secondary,never married,2
705,north west,rural,middle,female,18,secondary,never married,1
706,north west,rural,poorer,female,50,primary,married,1
